Pedestrian_ID,Lane1_Line1_Time,Lane1_Line2_Time,Lane1_Line3_Time,Lane2_Line1_Time,Lane2_Line2_Time,Lane2_Line3_Time,Lane3_Line1_Time,Lane3_Line2_Time,Lane3_Line3_Time,Average_Speed,Max_Speed
1,1.0,1.8333333333333333,2.7083333333333335,3.0416666666666665,4.541666666666667,5.583333333333333,5.75,6.375,7.333333333333333,1.95,7.04
2,,,,,,,,,,0.23,0.88
3,,1.0416666666666667,2.375,2.9166666666666665,4.291666666666667,5.416666666666667,5.75,6.541666666666667,7.416666666666667,1.44,3.88
4,,,,,,,,,,0.30,0.72
5,,,,,,,,,,0.15,0.98
6,,,,,,,,,,0.16,0.95
7,,,,,,,,,,0.15,0.24
8,,,,,,,,,,0.30,1.82
9,,,,,,,,,,0.27,0.58
10,,,,,,,,,7.291666666666667,2.16,5.74
11,,,,,,,,,,0.17,0.37
